time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,CINO at 31 March,Revised,56,712.25,12.7,c,c,9,16.1,c,c,54.99,0.98,49,-83.2,-1.7,-2.09,-1.3
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,CINO at 31 March,Revised,97,1697.5,17.5,10,10.3,16,16.5,22,22.7,151.17,1.56,77,-104.481,-1.36,-1.67,-1.04
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,CINO at 31 March,Revised,112,2263.5,20.2,18,16.1,29,25.9,25,22.3,195.85,1.75,97,-123.886,-1.28,-1.56,-1
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,CINO at 31 March,Revised,98,1573.75,16.1,c,c,14,14.3,12,12.2,136.83,1.4,80,-118.343,-1.48,-1.79,-1.17
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,CINO at 31 March,Revised,117,2802.5,24,16,13.7,35,29.9,30,25.6,249.83,2.14,102,-112.456,-1.1,-1.38,-0.83
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,CINO at 31 March,Revised,83,891.75,10.7,6,7.2,12,14.5,c,c,79.18,0.95,71,-121.386,-1.71,-2.04,-1.38
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,203,Greenwich,E09000011,CINO at 31 March,Revised,111,1884.5,17,10,9,19,17.1,16,14.4,161.72,1.46,92,-160.679,-1.75,-2.04,-1.46
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,CINO at 31 March,Revised,67,1496.5,22.3,12,17.9,16,23.9,16,23.9,126.82,1.89,54,-59.557,-1.1,-1.48,-0.73
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,CINO at 31 March,Revised,102,1820.75,17.9,9,8.8,22,21.6,22,21.6,152.04,1.49,86,-119.607,-1.39,-1.69,-1.09
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,312,Hillingdon,E09000017,CINO at 31 March,Revised,95,2208.5,23.2,18,18.9,31,32.6,17,17.9,186.15,1.96,85,-93.827,-1.1,-1.4,-0.8
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,313,Hounslow,E09000018,CINO at 31 March,Revised,40,648.5,16.2,c,c,6,15,6,15,53.51,1.34,36,-61.428,-1.71,-2.17,-1.24
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,314,Kingston upon Thames,E09000021,CINO at 31 March,Revised,32,863.5,27,11,34.4,13,40.6,8,25,77.66,2.43,31,-49.02,-1.58,-2.08,-1.08
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,315,Merton,E09000024,CINO at 31 March,Revised,59,1245,21.1,7,11.9,15,25.4,6,10.2,102.17,1.73,40,-59.71,-1.49,-1.93,-1.05
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,317,Redbridge,E09000026,CINO at 31 March,Revised,90,1534,17,12,13.3,21,23.3,11,12.2,128.17,1.42,82,-75.971,-0.93,-1.23,-0.62
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,318,Richmond upon Thames,E09000027,CINO at 31 March,Revised,31,776.63,25.1,c,c,11,35.5,c,c,59.49,1.92,22,-24.719,-1.12,-1.72,-0.53
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,319,Sutton,E09000029,CINO at 31 March,Revised,86,1594.25,18.5,14,16.3,20,23.3,11,12.8,131.69,1.53,60,-92.976,-1.55,-1.91,-1.19
202324,Academic year,Local authority,E92000001,England,E13000002,Outer London,320,Waltham Forest,E09000031,CINO at 31 March,Revised,75,1375.5,18.3,9,12,13,17.3,c,c,106.14,1.42,66,-141.321,-2.14,-2.48,-1.8
202324,Academic year,National,E92000001,England,,,,,,CLA 12 months at 31 March,Revised,6370,116610.75,18.3,570,9,1150,18.1,x,x,x,x,4810,-6299.498,-1.31,-1.35,-1.27
202324,Academic year,Regional,E92000001,England,E12000001,North East,,,,CLA 12 months at 31 March,Revised,420,8594.25,20.3,50,11.6,90,22.2,x,x,x,x,360,-497.24,-1.37,-1.52,-1.22
202324,Academic year,Regional,E92000001,England,E12000002,North West,,,,CLA 12 months at 31 March,Revised,1070,19858,18.5,100,9.2,200,18.6,x,x,x,x,850,-1208.261,-1.42,-1.51,-1.32
202324,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA 12 months at 31 March,Revised,650,12525.25,19.3,70,10.3,120,18.8,x,x,x,x,520,-626.206,-1.2,-1.32,-1.07
202324,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA 12 months at 31 March,Revised,490,8805,18.2,40,8.9,90,17.5,x,x,x,x,390,-458.756,-1.19,-1.33,-1.04
202324,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA 12 months at 31 March,Revised,810,15996.25,19.8,70,8.5,150,18.9,x,x,x,x,650,-809.702,-1.25,-1.36,-1.14
202324,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CLA 12 months at 31 March,Revised,540,9928.25,18.5,50,9.1,110,20.1,x,x,x,x,430,-527.547,-1.24,-1.37,-1.1
202324,Academic year,Regional,E92000001,England,E12000007,London,,,,CLA 12 months at 31 March,Revised,760,15482.5,20.5,80,11.1,150,20.4,x,x,x,x,560,-772.231,-1.37,-1.49,-1.25
202324,Academic year,Regional,E92000001,England,E12000008,South East,,,,CLA 12 months at 31 March,Revised,870,14447.25,16.6,60,7.1,140,16,x,x,x,x,640,-866.203,-1.36,-1.47,-1.25
202324,Academic year,Regional,E92000001,England,E12000009,South West,,,,CLA 12 months at 31 March,Revised,550,9406.75,17.2,50,9,100,17.4,x,x,x,x,420,-533.352,-1.29,-1.42,-1.15
202324,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CLA 12 months at 31 March,Revised,310,6675,21.8,40,12.7,60,20.6,x,x,x,x,240,-320.613,-1.36,-1.54,-1.18
202324,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CLA 12 months at 31 March,Revised,450,8807.5,19.6,50,10,90,20.2,x,x,x,x,330,-451.618,-1.38,-1.53,-1.22
202324,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CLA 12 months at 31 March,Revised,83,1486,17.9,c,c,11,13.3,x,x,x,x,69,-107.541,-1.56,-1.89,-1.22
202324,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CLA 12 months at 31 March,Revised,18,398.75,22.2,c,c,c,c,x,x,x,x,15,-18.994,-1.27,-1.98,-0.55
202324,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CLA 12 months at 31 March,Revised,41,1097.75,26.8,9,22,15,36.6,x,x,x,x,35,-41.786,-1.19,-1.66,-0.72
202324,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CLA 12 months at 31 March,Revised,23,458.75,19.9,c,c,6,26.1,x,x,x,x,23,-29.353,-1.28,-1.85,-0.7
202324,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CLA 12 months at 31 March,Revised,34,736.25,21.7,c,c,6,17.6,x,x,x,x,27,-23.323,-0.86,-1.4,-0.33
202324,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CLA 12 months at 31 March,Revised,44,927.5,21.1,c,c,13,29.5,x,x,x,x,42,-65.494,-1.56,-1.99,-1.13
202324,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CLA 12 months at 31 March,Revised,19,239.25,12.6,c,c,c,c,x,x,x,x,14,-34.162,-2.44,-3.18,-1.7
202324,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CLA 12 months at 31 March,Revised,26,409.5,15.8,c,c,c,c,x,x,x,x,23,-35.434,-1.54,-2.12,-0.96
202324,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CLA 12 months at 31 March,Revised,27,520,19.3,c,c,c,c,x,x,x,x,24,-34.618,-1.44,-2.01,-0.88
202324,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CLA 12 months at 31 March,Revised,23,640,27.8,c,c,7,30.4,x,x,x,x,22,-27.001,-1.23,-1.82,-0.64
202324,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CLA 12 months at 31 March,Revised,46,775.5,16.9,c,c,9,19.6,x,x,x,x,34,-41.134,-1.21,-1.69,-0.73
202324,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CLA 12 months at 31 March,Revised,39,905,23.2,c,c,10,25.6,x,x,x,x,35,-38.4,-1.1,-1.57,-0.63
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CLA 12 months at 31 March,Revised,31,499.5,16.1,c,c,c,c,x,x,x,x,23,-37.763,-1.64,-2.22,-1.06
202324,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CLA 12 months at 31 March,Revised,37,410.25,11.1,c,c,c,c,x,x,x,x,25,-51.419,-2.06,-2.61,-1.5
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CLA 12 months at 31 March,Revised,41,873.5,21.3,6,14.6,10,24.4,x,x,x,x,33,-31.952,-0.97,-1.45,-0.49
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CLA 12 months at 31 March,Revised,24,404.5,16.9,c,c,c,c,x,x,x,x,16,-28.086,-1.76,-2.45,-1.06
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CLA 12 months at 31 March,Revised,25,530.25,21.2,c,c,6,24,x,x,x,x,17,-14.458,-0.85,-1.52,-0.18
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CLA 12 months at 31 March,Revised,36,673,18.7,c,c,c,c,x,x,x,x,34,-48.353,-1.42,-1.9,-0.95
