time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_read_eligible_pupils,t_read_met_expected_standard,pt_read_met_expected_standard,t_writta_eligible_pupils,t_writta_met_expected_standard,pt_writta_met_expected_standard,t_mat_eligible_pupils,t_mat_met_expected_standard,pt_mat_met_expected_standard,t_rwm_eligible_pupils,t_rwm_met_expected_standard,pt_rwm_met_expected_standard,t_gps_eligible_pupils,t_gps_met_expected_standard,pt_gps_met_expected_standard,t_scita_eligible_pupils,t_scita_met_expected_standard,pt_scita_met_expected_standard,t_read_progress_eligible_pupils,t_read_progress_score,avg_read_progress_score,avg_read_progress_score_lower_CI,avg_read_progress_score_upper_CI,t_writta_progress_eligible_pupils,t_writta_progress_score,avg_writta_progress_score,avg_writta_progress_score_lower_CI,avg_writta_progress_score_upper_CI,t_mat_progress_eligible_pupils,t_mat_progress_score,avg_mat_progress_score,avg_mat_progress_score_lower_CI,avg_mat_progress_score_upper_CI
202223,Academic year,Local authority,E92000001,England,E12000008,South East,871,Slough,E06000039,CINO at 31 March,Revised,36,18,50,36,17,47,36,19,53,36,15,42,36,20,56,35,19,54,29,-16.01,-0.55,-2.84,1.74,29,-38.93,-1.34,-3.54,0.86,29,-50.97,-1.76,-3.91,0.39
202223,Academic year,Local authority,E92000001,England,E12000008,South East,852,Southampton,E06000045,CINO at 31 March,Revised,80,32,40,80,30,38,80,24,30,80,24,30,80,29,36,80,29,36,66,-135.7,-2.06,-3.57,-0.54,67,-145.57,-2.17,-3.62,-0.72,68,-278.63,-4.1,-5.5,-2.69
202223,Academic year,Local authority,E92000001,England,E12000008,South East,936,Surrey,E10000030,CINO at 31 March,Revised,185,68,37,185,62,34,185,56,30,185,42,23,185,65,35,185,71,38,169,-378.38,-2.24,-3.19,-1.29,169,-365.48,-2.16,-3.07,-1.25,168,-536.78,-3.2,-4.09,-2.3
202223,Academic year,Local authority,E92000001,England,E12000008,South East,869,West Berkshire,E06000037,CINO at 31 March,Revised,42,16,38,42,14,33,42,14,33,42,11,26,42,13,31,42,18,43,38,-98.58,-2.59,-4.59,-0.59,40,-114.49,-2.86,-4.74,-0.99,39,-118.63,-3.04,-4.9,-1.19
202223,Academic year,Local authority,E92000001,England,E12000008,South East,938,West Sussex,E10000032,CINO at 31 March,Revised,188,78,41,187,67,36,188,67,36,187,52,28,188,70,37,187,87,47,169,-419.99,-2.49,-3.43,-1.54,168,-570.39,-3.4,-4.31,-2.48,169,-601.02,-3.56,-4.45,-2.66
202223,Academic year,Local authority,E92000001,England,E12000008,South East,868,Windsor and Maidenhead,E06000040,CINO at 31 March,Revised,22,11,50,22,7,32,22,11,50,22,c,c,22,11,50,22,14,64,19,-51.12,-2.69,-5.52,0.14,19,-65.34,-3.44,-6.16,-0.72,19,-33.76,-1.78,-4.44,0.88
202223,Academic year,Local authority,E92000001,England,E12000008,South East,872,Wokingham,E06000041,CINO at 31 March,Revised,40,25,63,40,16,40,40,18,45,40,13,33,40,19,48,40,24,60,40,-0.83,-0.02,-1.97,1.93,40,-90.64,-2.27,-4.14,-0.39,40,-46.25,-1.16,-2.99,0.68
202223,Academic year,Local authority,E92000001,England,E12000009,South West,800,Bath and North East Somerset,E06000022,CINO at 31 March,Revised,28,11,39,28,10,36,28,8,29,28,c,c,28,9,32,28,13,46,27,-58.98,-2.18,-4.56,0.19,28,-52.36,-1.87,-4.11,0.37,26,-50.16,-1.93,-4.2,0.34
202223,Academic year,Local authority,E92000001,England,E12000009,South West,839,"Bournemouth, Christchurch and Poole",E06000058,CINO at 31 March,Revised,68,23,34,67,25,37,68,23,34,67,18,27,68,23,34,67,31,46,62,-243.96,-3.93,-5.5,-2.37,61,-225.44,-3.7,-5.21,-2.18,62,-210.07,-3.39,-4.86,-1.92
202223,Academic year,Local authority,E92000001,England,E12000009,South West,801,"Bristol, City of",E06000023,CINO at 31 March,Revised,62,22,35,62,19,31,62,19,31,62,13,21,62,19,31,62,21,34,55,-141.69,-2.58,-4.24,-0.91,56,-146.42,-2.61,-4.2,-1.03,54,-156.81,-2.9,-4.48,-1.33
202223,Academic year,Local authority,E92000001,England,E12000009,South West,908,Cornwall,E06000052,CINO at 31 March,Revised,112,42,38,112,44,39,112,44,39,112,31,28,112,46,41,112,48,43,105,-246.44,-2.35,-3.55,-1.14,109,-247.06,-2.27,-3.4,-1.13,103,-241.73,-2.35,-3.49,-1.2
