old_la_code,la_name,region_ind,region_name,SN_1,SN_1P,SN_2,SN_2P,SN_3,SN_3P,SN_4,SN_4P,SN_5,SN_5P,SN_6,SN_6P,SN_7,SN_7P,SN_8,SN_8P,SN_9,SN_9P,SN_10,SN_10P
938,West Sussex,6,South East,916,Very close,881,Very close,850,Very close,919,Very close,937,Very close,865,Very close,802,Very close,931,Very close,803,Very close,878,Very close
213,Westminster,3,London,202,Close ,206,Close ,210,Somewhat close,207,Somewhat close,205,Somewhat close,208,Somewhat close,203,Not close,352,Not close,204,Not close,309,Not close
943,Westmorland and Furness,5,North West,884,Very close,942,Very close,860,Very close,893,Very close,811,Very close,815,Very close,925,Very close,933,Very close,935,Close ,830,Close 
359,Wigan,5,North West,888,Very close,925,Very close,343,Close ,877,Close ,860,Close ,332,Close ,929,Close ,884,Close ,808,Close ,893,Close 
865,Wiltshire,7,South West,850,Extremely close,916,Very close,802,Very close,938,Very close,855,Very close,937,Very close,895,Very close,881,Very close,815,Very close,803,Very close
868,Windsor and Maidenhead,6,South East,936,Very close,825,Very close,872,Close ,358,Close ,919,Close ,869,Close ,305,Close ,823,Close ,931,Close ,867,Close 
344,Wirral,5,North West,840,Very close,343,Very close,876,Very close,808,Very close,394,Close ,390,Close ,807,Close ,888,Close ,351,Close ,393,Close 
872,Wokingham,6,South East,868,Close ,936,Close ,825,Close ,869,Close ,305,Close ,358,Close ,318,Close ,919,Close ,867,Close ,823,Close 
336,Wolverhampton,8,West Midlands,333,Very close,861,Very close,335,Very close,810,Very close,354,Close ,331,Close ,371,Close ,831,Close ,806,Close ,812,Close 
885,Worcestershire,8,West Midlands,933,Very close,916,Very close,838,Very close,937,Very close,893,Very close,938,Very close,878,Very close,830,Very close,881,Very close,815,Very close
816,York,9,Yorkshire and The Humber,916,Very close,800,Very close,802,Very close,919,Close ,937,Close ,931,Close ,938,Close ,358,Close ,850,Close ,356,Close 
