time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,Six half terms,CPPO at 31 March,Total,89,30625,4028,13.2,1755,5.7,2273,7.4,37,41.6,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,Six half terms,CPPO at 31 March,State-funded secondary,37,12351,1722,13.9,710,5.7,1012,8.2,17,45.9,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,Six half terms,CPPO at 31 March,State-funded primary,43,15336,1697,11.1,703,4.6,994,6.5,15,34.9,0,0
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,Six half terms,CPPO at 31 March,Total,106,37702,4979,13.2,1981,5.3,2998,8,46,43.4,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,Six half terms,CPPO at 31 March,State-funded secondary,40,13665,2884,21.1,944,6.9,1940,14.2,24,60,7,17.5
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,Six half terms,CPPO at 31 March,State-funded primary,58,21206,1665,7.9,808,3.8,857,4,19,32.8,0,0
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,Islington,E09000019,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,Six half terms,CPPO at 31 March,Total,27,9530,1313,13.8,428,4.5,885,9.3,10,37,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,Six half terms,CPPO at 31 March,State-funded secondary,9,3167,453,14.3,164,5.2,289,9.1,c,c,0,0
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,Six half terms,CPPO at 31 March,State-funded primary,14,5040,448,8.9,146,2.9,302,6,c,c,0,0
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,Kensington and Chelsea,E09000020,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,Lambeth,E09000022,Six half terms,CPPO at 31 March,Total,114,38713,6863,17.7,2559,6.6,4304,11.1,51,44.7,9,7.9
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,Lambeth,E09000022,Six half terms,CPPO at 31 March,State-funded secondary,57,18406,3851,20.9,1305,7.1,2546,13.8,30,52.6,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,Lambeth,E09000022,Six half terms,CPPO at 31 March,State-funded primary,45,16330,1742,10.7,793,4.9,949,5.8,14,31.1,0,0
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,Lambeth,E09000022,Six half terms,CPPO at 31 March,State-funded AP school,6,1933,907,46.9,399,20.6,508,26.3,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,Lambeth,E09000022,Six half terms,CPPO at 31 March,Special,6,2044,363,17.8,62,3,301,14.7,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,Lewisham,E09000023,Six half terms,CPPO at 31 March,Total,129,45433,6317,13.9,2612,5.7,3705,8.2,52,40.3,10,7.8
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,Lewisham,E09000023,Six half terms,CPPO at 31 March,State-funded secondary,43,14825,2497,16.8,977,6.6,1520,10.3,21,48.8,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,Lewisham,E09000023,Six half terms,CPPO at 31 March,State-funded primary,77,27525,3027,11,1414,5.1,1613,5.9,26,33.8,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,Lewisham,E09000023,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,Lewisham,E09000023,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,316,Newham,E09000025,Six half terms,CPPO at 31 March,Total,150,52314,6815,13,2664,5.1,4151,7.9,63,42,8,5.3
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,316,Newham,E09000025,Six half terms,CPPO at 31 March,State-funded secondary,62,21409,3476,16.2,1090,5.1,2386,11.1,36,58.1,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,316,Newham,E09000025,Six half terms,CPPO at 31 March,State-funded primary,82,29311,2377,8.1,1140,3.9,1237,4.2,23,28,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,316,Newham,E09000025,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,316,Newham,E09000025,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,210,Southwark,E09000028,Six half terms,CPPO at 31 March,Total,189,66425,9940,15,3548,5.3,6392,9.6,84,44.4,10,5.3
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,210,Southwark,E09000028,Six half terms,CPPO at 31 March,State-funded secondary,72,25292,4011,15.9,1376,5.4,2635,10.4,34,47.2,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,210,Southwark,E09000028,Six half terms,CPPO at 31 March,State-funded primary,103,36429,3695,10.1,1774,4.9,1921,5.3,38,36.9,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,210,Southwark,E09000028,Six half terms,CPPO at 31 March,State-funded AP school,7,2303,1068,46.4,191,8.3,877,38.1,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,210,Southwark,E09000028,Six half terms,CPPO at 31 March,Special,7,2401,1166,48.6,207,8.6,959,39.9,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,Tower Hamlets,E09000030,Six half terms,CPPO at 31 March,Total,157,55799,6628,11.9,3108,5.6,3520,6.3,57,36.3,10,6.4
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,Tower Hamlets,E09000030,Six half terms,CPPO at 31 March,State-funded secondary,64,22390,3574,16,1486,6.6,2088,9.3,32,50,6,9.4
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,Tower Hamlets,E09000030,Six half terms,CPPO at 31 March,State-funded primary,85,31572,2213,7,1517,4.8,696,2.2,17,20,0,0
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,Tower Hamlets,E09000030,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,Tower Hamlets,E09000030,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,Wandsworth,E09000032,Six half terms,CPPO at 31 March,Total,103,36839,4585,12.4,1839,5,2746,7.5,49,47.6,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,Wandsworth,E09000032,Six half terms,CPPO at 31 March,State-funded secondary,38,13340,1826,13.7,628,4.7,1198,9,15,39.5,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,Wandsworth,E09000032,Six half terms,CPPO at 31 March,State-funded primary,61,22215,2221,10,1064,4.8,1157,5.2,30,49.2,0,0
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,Wandsworth,E09000032,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,Wandsworth,E09000032,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,213,Westminster,E09000033,Six half terms,CPPO at 31 March,Total,32,11310,1477,13.1,554,4.9,923,8.2,11,34.4,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,213,Westminster,E09000033,Six half terms,CPPO at 31 March,State-funded secondary,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,213,Westminster,E09000033,Six half terms,CPPO at 31 March,State-funded primary,18,6254,606,9.7,178,2.8,428,6.8,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,213,Westminster,E09000033,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000001,Inner London,213,Westminster,E09000033,Six half terms,CPPO at 31 March,Special,0,z,z,z,z,z,z,z,z,z,z,z
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,301,Barking and Dagenham,E09000002,Six half terms,CPPO at 31 March,Total,169,59528,6151,10.3,3127,5.3,3024,5.1,47,27.8,9,5.3
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,301,Barking and Dagenham,E09000002,Six half terms,CPPO at 31 March,State-funded secondary,62,22135,3277,14.8,1390,6.3,1887,8.5,27,43.5,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,301,Barking and Dagenham,E09000002,Six half terms,CPPO at 31 March,State-funded primary,103,36135,2311,6.4,1379,3.8,932,2.6,16,15.5,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,301,Barking and Dagenham,E09000002,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,301,Barking and Dagenham,E09000002,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,302,Barnet,E09000003,Six half terms,CPPO at 31 March,Total,100,34891,5158,14.8,2001,5.7,3157,9,36,36,8,8
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,302,Barnet,E09000003,Six half terms,CPPO at 31 March,State-funded secondary,29,10394,2101,20.2,642,6.2,1459,14,13,44.8,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,302,Barnet,E09000003,Six half terms,CPPO at 31 March,State-funded primary,62,21363,1437,6.7,945,4.4,492,2.3,16,25.8,0,0
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,302,Barnet,E09000003,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,302,Barnet,E09000003,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,Six half terms,CPPO at 31 March,Total,62,22121,3210,14.5,1683,7.6,1527,6.9,36,58.1,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,Six half terms,CPPO at 31 March,State-funded secondary,18,6356,1274,20,690,10.9,584,9.2,11,61.1,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,Six half terms,CPPO at 31 March,State-funded primary,38,13777,1505,10.9,804,5.8,701,5.1,20,52.6,0,0
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,Six half terms,CPPO at 31 March,Total,169,57341,7491,13.1,3606,6.3,3885,6.8,62,36.7,14,8.3
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,Six half terms,CPPO at 31 March,State-funded secondary,74,24161,4341,18,1745,7.2,2596,10.7,37,50,11,14.9
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,Six half terms,CPPO at 31 March,State-funded primary,87,30446,2417,7.9,1377,4.5,1040,3.4,20,23,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,Six half terms,CPPO at 31 March,Total,132,48276,6269,13,2526,5.2,3743,7.8,43,32.6,10,7.6
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,Six half terms,CPPO at 31 March,State-funded secondary,46,16888,3149,18.6,1085,6.4,2064,12.2,19,41.3,7,15.2
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,Six half terms,CPPO at 31 March,State-funded primary,76,27840,2098,7.5,1130,4.1,968,3.5,16,21.1,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,Six half terms,CPPO at 31 March,State-funded AP school,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,Six half terms,CPPO at 31 March,Total,404,143035,17556,12.3,7100,5,10456,7.3,135,33.4,23,5.7
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,Six half terms,CPPO at 31 March,State-funded secondary,147,50507,7148,14.2,2670,5.3,4478,8.9,63,42.9,10,6.8
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,Six half terms,CPPO at 31 March,State-funded primary,213,77464,5722,7.4,2976,3.8,2746,3.5,45,21.1,c,c
201819,Academic year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,Six half terms,CPPO at 31 March,State-funded AP school,16,5030,3249,64.6,860,17.1,2389,47.5,16,100,10,62.5
