time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,absence_terms,social_care_group,phase_type_grouping,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
202021,Academic year,Regional,E92000001,England,E12000006,East of England,,,,six half terms,CLA 12 months at 31 March,State-funded secondary,1530,526460,58080,11,48660,9.2,9420,1.8,590,38.6,60,4.2
202021,Academic year,Regional,E92000001,England,E12000006,East of England,,,,six half terms,CLA 12 months at 31 March,State-funded primary,1030,368910,20510,5.6,19730,5.3,770,0.2,200,19.1,10,0.5
202021,Academic year,Regional,E92000001,England,E12000006,East of England,,,,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,60,18900,6640,35.1,4870,25.8,1770,9.4,40,66.1,20,37.1
202021,Academic year,Regional,E92000001,England,E12000006,East of England,,,,six half terms,CLA 12 months at 31 March,Special,360,122700,14730,12,13670,11.1,1060,0.9,150,41.3,10,3.1
202021,Academic year,Regional,E92000001,England,E12000007,London,,,,six half terms,CLA 12 months at 31 March,Total,3510,1210800,108710,9,88290,7.3,20420,1.7,1110,31.7,110,3
202021,Academic year,Regional,E92000001,England,E12000007,London,,,,six half terms,CLA 12 months at 31 March,State-funded secondary,2000,679940,68920,10.1,54410,8,14510,2.1,720,36.2,60,3
202021,Academic year,Regional,E92000001,England,E12000007,London,,,,six half terms,CLA 12 months at 31 March,State-funded primary,1030,371640,15830,4.3,14810,4,1020,0.3,160,15.5,0,0.3
202021,Academic year,Regional,E92000001,England,E12000007,London,,,,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,80,21880,7410,33.9,4100,18.7,3310,15.1,60,73.8,30,33.8
202021,Academic year,Regional,E92000001,England,E12000007,London,,,,six half terms,CLA 12 months at 31 March,Special,400,137340,16550,12.1,14980,10.9,1580,1.1,170,43,20,3.8
202021,Academic year,Regional,E92000001,England,E12000008,South East,,,,six half terms,CLA 12 months at 31 March,Total,4380,1534730,139490,9.1,118970,7.8,20520,1.3,1380,31.5,120,2.8
202021,Academic year,Regional,E92000001,England,E12000008,South East,,,,six half terms,CLA 12 months at 31 March,State-funded secondary,2170,745040,82780,11.1,68110,9.1,14660,2,830,38,90,4
202021,Academic year,Regional,E92000001,England,E12000008,South East,,,,six half terms,CLA 12 months at 31 March,State-funded primary,1570,567830,30330,5.3,28040,4.9,2290,0.4,300,18.8,10,0.4
202021,Academic year,Regional,E92000001,England,E12000008,South East,,,,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,40,12480,3090,24.8,2040,16.3,1050,8.4,30,69.8,10,20.9
202021,Academic year,Regional,E92000001,England,E12000008,South East,,,,six half terms,CLA 12 months at 31 March,Special,600,209380,23300,11.1,20780,9.9,2510,1.2,230,38.2,20,3.3
202021,Academic year,Regional,E92000001,England,E12000009,South West,,,,six half terms,CLA 12 months at 31 March,Total,2640,920590,91360,9.9,78480,8.5,12880,1.4,930,35.4,90,3.3
202021,Academic year,Regional,E92000001,England,E12000009,South West,,,,six half terms,CLA 12 months at 31 March,State-funded secondary,1360,468700,55890,11.9,46940,10,8940,1.9,590,43,50,3.8
202021,Academic year,Regional,E92000001,England,E12000009,South West,,,,six half terms,CLA 12 months at 31 March,State-funded primary,900,323760,17910,5.5,17060,5.3,850,0.3,190,20.8,10,0.8
202021,Academic year,Regional,E92000001,England,E12000009,South West,,,,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,70,19140,6780,35.4,4780,25,1990,10.4,50,80,20,30.8
202021,Academic year,Regional,E92000001,England,E12000009,South West,,,,six half terms,CLA 12 months at 31 March,Special,320,108990,10790,9.9,9700,8.9,1100,1,110,34.3,10,2.9
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,six half terms,CLA 12 months at 31 March,Total,1470,505050,47500,9.4,36890,7.3,10610,2.1,480,32.4,60,3.9
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,six half terms,CLA 12 months at 31 March,State-funded secondary,850,286470,29410,10.3,22210,7.8,7200,2.5,310,36.3,30,3.7
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,six half terms,CLA 12 months at 31 March,State-funded primary,420,150970,6600,4.4,6180,4.1,420,0.3,70,15.9,0,0
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,40,11840,4440,37.4,2250,19,2190,18.5,40,88.4,20,39.5
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,six half terms,CLA 12 months at 31 March,Special,160,55760,7060,12.7,6250,11.2,810,1.4,70,40.5,10,6.1
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,six half terms,CLA 12 months at 31 March,Total,2040,705750,61210,8.7,51400,7.3,9810,1.4,640,31.2,50,2.4
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,six half terms,CLA 12 months at 31 March,State-funded secondary,1150,393470,39510,10,32200,8.2,7310,1.9,420,36.1,30,2.6
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,six half terms,CLA 12 months at 31 March,State-funded primary,610,220670,9230,4.2,8630,3.9,600,0.3,90,15.2,0,0.5
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,40,10040,2980,29.6,1850,18.4,1130,11.2,20,56.8,10,27
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,six half terms,CLA 12 months at 31 March,Special,240,81580,9490,11.6,8720,10.7,770,0.9,110,44.7,10,2.1
202021,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,six half terms,CLA 12 months at 31 March,Total,449,158960,13465,8.5,11372,7.2,2093,1.3,140,31.2,11,2.4
202021,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,six half terms,CLA 12 months at 31 March,State-funded secondary,203,71950,8442,11.7,6872,9.6,1570,2.2,87,42.9,10,4.9
