LA num,LA Name,LA number,GOInd,GOReg,SN1,SNP,SN2,SNP,SN3,SNP,SN4,SNP,SN5,SNP,SN6,SNP,SN7,SNP,SN8,SNP,SN9,SNP,SN10,SNP,
857,Rutland,857,1,East Midlands,815,Very Close,869,Very Close,895,Very Close,865,Close,823,Close,825,Close,931,Close,850,Close,937,Close,873,Close,
860,Staffordshire,860,8,West Midlands,891,Extremely Close,830,Very Close,885,Very Close,937,Very Close,881,Very Close,811,Very Close,896,Very Close,940,Very Close,909,Very Close,888,Very Close,
861,Stoke-on-Trent,861,8,West Midlands,810,Very Close,806,Very Close,357,Very Close,371,Very Close,812,Very Close,335,Very Close,370,Very Close,354,Very Close,372,Very Close,890,Very Close,
865,Wiltshire,865,7,South West,916,Extremely Close,893,Very Close,878,Very Close,873,Very Close,938,Very Close,800,Very Close,885,Very Close,850,Very Close,802,Very Close,838,Very Close,
866,Swindon,866,7,South West,886,Very Close,887,Very Close,882,Very Close,941,Very Close,894,Very Close,881,Very Close,839,Very Close,891,Very Close,888,Very Close,940,Very Close,
867,Bracknell Forest,867,6,South East,919,Extremely Close,850,Very Close,823,Very Close,869,Very Close,931,Very Close,938,Very Close,358,Very Close,803,Very Close,825,Very Close,816,Very Close,
868,Windsor and Maidenhead,868,6,South East,936,Extremely Close,825,Very Close,869,Very Close,919,Very Close,872,Very Close,931,Very Close,867,Very Close,873,Close,850,Close,358,Close,
869,West Berkshire,869,6,South East,825,Very Close,850,Very Close,823,Very Close,931,Very Close,936,Very Close,919,Very Close,873,Very Close,895,Very Close,867,Very Close,857,Very Close,
870,Reading,870,6,South East,319,Close,826,Close,801,Close,822,Close,846,Close,302,Close,312,Close,831,Close,373,Close,852,Close,
871,Slough,871,6,South East,312,Close,313,Close,317,Close,821,Close,307,Somewhat close,856,Somewhat close,870,Somewhat close,302,Somewhat close,889,Somewhat close,330,Somewhat close,
872,Wokingham,872,6,South East,936,Very Close,868,Very Close,825,Very Close,869,Close,867,Close,919,Close,895,Close,931,Close,857,Close,850,Close,
873,Cambridgeshire,873,2,East of England,931,Extremely Close,916,Very Close,850,Very Close,800,Very Close,865,Very Close,938,Very Close,869,Very Close,919,Very Close,885,Very Close,937,Very Close,
874,Peterborough,874,2,East of England,831,Very Close,894,Very Close,887,Very Close,335,Very Close,879,Very Close,852,Very Close,851,Very Close,373,Very Close,350,Very Close,372,Very Close,
876,Halton,876,5,North West,805,Very Close,340,Very Close,394,Very Close,806,Very Close,393,Very Close,807,Very Close,370,Very Close,812,Very Close,840,Very Close,841,Very Close,
877,Warrington,877,5,North West,896,Extremely Close,937,Very Close,334,Very Close,811,Very Close,356,Very Close,860,Very Close,895,Very Close,891,Very Close,351,Very Close,881,Very Close,
878,Devon,878,7,South West,933,Extremely Close,893,Extremely Close,838,Extremely Close,884,Extremely Close,908,Very Close,916,Very Close,935,Very Close,865,Very Close,885,Very Close,926,Very Close,
879,Plymouth,879,7,South West,880,Very Close,851,Very Close,894,Very Close,921,Very Close,882,Very Close,372,Very Close,839,Very Close,887,Very Close,874,Very Close,357,Very Close,
880,Torbay,880,7,South West,921,Very Close,879,Very Close,807,Very Close,372,Very Close,882,Very Close,894,Very Close,359,Very Close,839,Very Close,812,Very Close,926,Very Close,
881,Essex,881,2,East of England,886,Extremely Close,885,Extremely Close,860,Very Close,938,Very Close,937,Very Close,803,Very Close,823,Very Close,855,Very Close,850,Very Close,802,Very Close,
882,Southend-on-Sea,882,2,East of England,839,Very Close,866,Very Close,887,Very Close,886,Very Close,845,Very Close,879,Very Close,921,Very Close,894,Very Close,935,Very Close,881,Very Close,
883,Thurrock,883,2,East of England,887,Very Close,303,Very Close,311,Very Close,866,Close,332,Close,882,Close,941,Close,894,Close,826,Close,874,Close,
884,Herefordshire,884,8,West Midlands,893,Extremely Close,878,Extremely Close,908,Very Close,933,Very Close,838,Very Close,865,Very Close,935,Very Close,926,Very Close,916,Very Close,909,Very Close,
885,Worcestershire,885,8,West Midlands,937,Extremely Close,802,Extremely Close,881,Extremely Close,860,Very Close,838,Very Close,845,Very Close,938,Very Close,803,Very Close,855,Very Close,886,Very Close,
886,Kent,886,6,South East,881,Extremely Close,845,Very Close,866,Very Close,885,Very Close,888,Very Close,941,Very Close,891,Very Close,937,Very Close,935,Very Close,860,Very Close,
887,Medway,887,6,South East,866,Very Close,894,Very Close,332,Very Close,882,Very Close,886,Very Close,883,Very Close,941,Very Close,372,Very Close,311,Very Close,940,Very Close,
888,Lancashire,888,5,North West,891,Extremely Close,381,Extremely Close,830,Extremely Close,343,Very Close,351,Very Close,808,Very Close,886,Very Close,860,Very Close,359,Very Close,896,Very Close,
889,Blackburn with Darwen,889,5,North West,380,Close,335,Close,350,Close,874,Close,354,Close,831,Close,382,Close,353,Close,331,Close,894,Close,
890,Blackpool,890,5,North West,805,Very Close,806,Very Close,876,Very Close,807,Very Close,861,Very Close,393,Close,810,Close,812,Close,340,Close,357,Close,
891,Nottinghamshire,891,1,East Midlands,830,Extremely Close,860,Extremely Close,888,Extremely Close,885,Very Close,925,Very Close,940,Very Close,909,Very Close,881,Very Close,886,Very Close,896,Very Close,
892,Nottingham,892,1,East Midlands,352,Very Close,336,Close,852,Close,333,Close,801,Close,330,Close,851,Close,355,Close,331,Close,810,Somewhat close,
893,Shropshire,893,8,West Midlands,878,Extremely Close,884,Extremely Close,838,Extremely Close,865,Very Close,933,Very Close,916,Very Close,935,Very Close,885,Very Close,908,Very Close,909,Very Close,
894,Telford and Wrekin,894,8,West Midlands,887,Very Close,372,Very Close,813,Very Close,332,Very Close,371,Very Close,866,Very Close,359,Very Close,874,Very Close,888,Very Close,879,Very Close,
895,Cheshire East,895,5,North West,896,Very Close,937,Very Close,823,Very Close,815,Very Close,850,Very Close,877,Very Close,802,Very Close,811,Very Close,885,Very Close,855,Very Close,
896,Cheshire West and Chester,896,5,North West,877,Extremely Close,937,Extremely Close,811,Very Close,895,Very Close,885,Very Close,356,Very Close,860,Very Close,891,Very Close,334,Very Close,881,Very Close,
908,Cornwall,908,7,South West,933,Extremely Close,926,Extremely Close,878,Very Close,884,Very Close,935,Very Close,838,Very Close,893,Very Close,925,Very Close,845,Very Close,921,Very Close,
909,Cumbria,909,5,North West,925,Extremely Close,926,Very Close,830,Very Close,891,Very Close,860,Very Close,885,Very Close,935,Very Close,940,Very Close,893,Very Close,878,Very Close,
916,Gloucestershire,916,7,South West,865,Extremely Close,800,Extremely Close,938,Extremely Close,873,Very Close,878,Very Close,838,Very Close,893,Very Close,850,Very Close,803,Very Close,885,Very Close,
919,Hertfordshire,919,2,East of England,867,Extremely Close,931,Very Close,850,Very Close,358,Very Close,823,Very Close,825,Very Close,869,Very Close,938,Very Close,873,Very Close,868,Very Close,
921,Isle of Wight,921,6,South East,880,Very Close,926,Very Close,845,Very Close,908,Very Close,925,Very Close,879,Very Close,882,Very Close,839,Very Close,935,Very Close,830,Very Close,
925,Lincolnshire,925,1,East Midlands,926,Extremely Close,909,Extremely Close,830,Very Close,891,Very Close,935,Very Close,813,Very Close,940,Very Close,908,Very Close,860,Very Close,885,Very Close,
926,Norfolk,926,2,East of England,925,Extremely Close,935,Extremely Close,908,Extremely Close,933,Very Close,909,Very Close,878,Very Close,921,Very Close,838,Very Close,845,Very Close,893,Very Close,
929,Northumberland,929,4,North East,811,Very Close,877,Very Close,392,Very Close,896,Very Close,808,Very Close,381,Very Close,860,Very Close,830,Very Close,891,Very Close,888,Very Close,
931,Oxfordshire,931,6,South East,873,Extremely Close,919,Very Close,800,Very Close,850,Very Close,869,Very Close,865,Very Close,916,Very Close,825,Very Close,867,Very Close,938,Very Close,
933,Somerset,933,7,South West,878,Extremely Close,908,Extremely Close,935,Extremely Close,838,Extremely Close,893,Very Close,926,Very Close,884,Very Close,916,Very Close,845,Very Close,865,Very Close,
935,Suffolk,935,2,East of England,933,Extremely Close,926,Extremely Close,878,Very Close,908,Very Close,838,Very Close,893,Very Close,925,Very Close,845,Very Close,885,Very Close,916,Very Close,
936,Surrey,936,6,South East,868,Extremely Close,825,Very Close,869,Very Close,872,Very Close,919,Very Close,931,Very Close,867,Very Close,850,Very Close,873,Very Close,823,Close,
937,Warwickshire,937,8,West Midlands,896,Extremely Close,885,Extremely Close,860,Very Close,855,Very Close,823,Very Close,895,Very Close,881,Very Close,877,Very Close,850,Very Close,802,Very Close,
938,West Sussex,938,6,South East,850,Extremely Close,803,Extremely Close,916,Extremely Close,802,Very Close,885,Very Close,881,Very Close,855,Very Close,823,Very Close,865,Very Close,800,Very Close,
940,North Northamptonshire,940,1,East Midlands,941,Very Close,891,Very Close,860,Very Close,925,Very Close,830,Very Close,909,Very Close,886,Very Close,885,Very Close,935,Very Close,937,Very Close,
