time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,absence_terms,social_care_group,phase_type_grouping,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
202425,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,Total,120250,42464140,7397200,17.4,3918850,9.2,3478350,8.2,55270,46,13580,11.3
202425,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,State-funded secondary,44600,15153180,3857530,25.5,1671360,11,2186170,14.4,27220,61,8950,20.1
202425,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,State-funded primary,50670,18451560,2012890,10.9,1187120,6.4,825770,4.5,17400,34.3,1660,3.3
202425,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,State-funded alternative provision school,2340,705890,370860,52.5,174600,24.7,196260,27.8,2160,92.3,1280,54.5
202425,Academic year,National,E92000001,England,,,,,,six half terms,CINO at 31 March,Special,22640,8153500,1155920,14.2,885760,10.9,270150,3.3,8490,37.5,1700,7.5
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,Total,6830,2458610,405930,16.5,198240,8.1,207690,8.4,2980,43.7,700,10.2
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,State-funded secondary,2270,787550,203630,25.9,73630,9.3,130010,16.5,1460,64.5,430,19.1
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,State-funded primary,2720,997630,91650,9.2,51960,5.2,39690,4,820,30.1,50,1.7
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,State-funded alternative provision school,160,50950,26170,51.4,12500,24.5,13660,26.8,140,92.3,80,51.3
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,six half terms,CINO at 31 March,Special,1700,622480,84480,13.6,60150,9.7,24330,3.9,560,33,140,8.1
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,Total,17870,6325780,1090030,17.2,525790,8.3,564240,8.9,8000,44.8,2060,11.5
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,State-funded secondary,6640,2260940,565890,25,221100,9.8,344800,15.3,3940,59.4,1330,20
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,State-funded primary,7930,2903520,291220,10,158480,5.5,132750,4.6,2560,32.2,200,2.5
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,State-funded alternative provision school,420,127140,74710,58.8,32520,25.6,42190,33.2,410,96.2,270,64.6
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,six half terms,CINO at 31 March,Special,2890,1034190,158210,15.3,113700,11,44510,4.3,1100,38,260,9.1
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,Total,12180,4270380,778560,18.2,358340,8.4,420230,9.8,5680,46.6,1500,12.3
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,State-funded secondary,4840,1639380,443920,27.1,167520,10.2,276410,16.9,3020,62.4,1080,22.2
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,State-funded primary,5570,2007120,215870,10.8,114140,5.7,101740,5.1,1890,33.9,170,3.1
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,State-funded alternative provision school,250,79330,36060,45.5,14780,18.6,21280,26.8,200,81.2,100,41.6
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,six half terms,CINO at 31 March,Special,1530,544560,82710,15.2,61910,11.4,20800,3.8,570,37.2,150,9.5
202425,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,Total,8100,2871020,497520,17.3,267880,9.3,229640,8,3590,44.3,920,11.3
202425,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,State-funded secondary,3130,1072180,275060,25.7,126020,11.8,149040,13.9,1870,59.8,630,20.3
202425,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,State-funded primary,3640,1326690,137630,10.4,82630,6.2,55000,4.1,1140,31.3,110,2.9
202425,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,State-funded alternative provision school,160,48230,24490,50.8,12230,25.4,12260,25.4,150,92.6,90,55.2
202425,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,six half terms,CINO at 31 March,Special,1170,423920,60350,14.2,46990,11.1,13350,3.1,430,36.8,90,7.5
202425,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,six half terms,CINO at 31 March,Total,13010,4590000,782320,17,412230,9,370090,8.1,5860,45,1430,11
202425,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,six half terms,CINO at 31 March,State-funded secondary,4850,1644940,409190,24.9,179150,10.9,230040,14,2950,60.7,950,19.6
