time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202425,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CLA 12 months at 31 March,Revised,520,9105.25,17.4,40,7.8,100,19.5,60,10.7,758.56,1.45,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000007,London,,,,CLA 12 months at 31 March,Revised,690,13252.5,19.3,70,10.1,140,20.6,100,13.8,1091.2,1.59,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000008,South East,,,,CLA 12 months at 31 March,Revised,830,13912.38,16.8,60,6.9,140,16.7,70,8.2,1135.86,1.37,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E12000009,South West,,,,CLA 12 months at 31 March,Revised,530,8205,15.5,40,7.2,80,15.5,40,7.5,680.85,1.28,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CLA 12 months at 31 March,Revised,280,5521.5,19.4,30,10.6,60,19.4,40,14.4,453.73,1.6,x,x,x,x,x
202425,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CLA 12 months at 31 March,Revised,400,7731,19.2,40,9.7,90,21.4,50,13.4,637.47,1.59,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CLA 12 months at 31 March,Revised,85,1383,16.3,7,8.2,17,20,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CLA 12 months at 31 March,Revised,26,522,20.1,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CLA 12 months at 31 March,Revised,41,611.5,14.9,c,c,7,17.1,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CLA 12 months at 31 March,Revised,26,326.5,12.6,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CLA 12 months at 31 March,Revised,41,715.5,17.5,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CLA 12 months at 31 March,Revised,40,853.5,21.3,6,15,10,25,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CLA 12 months at 31 March,Revised,19,359.75,18.9,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CLA 12 months at 31 March,Revised,33,629.75,19.1,c,c,10,30.3,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CLA 12 months at 31 March,Revised,18,340.5,18.9,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CLA 12 months at 31 March,Revised,29,446,15.4,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CLA 12 months at 31 March,Revised,33,599,18.2,c,c,6,18.2,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CLA 12 months at 31 March,Revised,45,734.5,16.3,c,c,7,15.6,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CLA 12 months at 31 March,Revised,26,420.25,16.2,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CLA 12 months at 31 March,Revised,47,814,17.3,c,c,c,c,x,x,x,x,x,x,x,x,x
